z,x,y
1,-0.05715,0.0381
1,-0.040639999365,0.0381
1,-0.040639999365,0.0381
1,-0.040473765255,0.03809854839
1,-0.04030758258,0.03809419737
1,-0.04014150087,0.03808694694
1,-0.039975569655,0.0380767971
1,-0.039809842275,0.038063753565
1,-0.039644366355,0.038047820145
1,-0.039479195235,0.038029002555
1,-0.03931437654,0.0380073027
1,-0.039149961705,0.03798273201
1,-0.03898600026,0.037955294295
1,-0.03882254364,0.03792499908
1,-0.038659641375,0.03789185589
1,-0.03849734109,0.03785587425
1,-0.03833569422,0.037817067495
1,-0.03817474839,0.037775443245
1,-0.038014555035,0.03773101674
1,-0.037855159875,0.03768380322
1,-0.03769661244,0.037633814115
1,-0.037538964165,0.037581064665
1,-0.037382258865,0.037525572015
1,-0.03722654607,0.03746735331
1,-0.0370718715,0.037406425695
1,-0.03691828659,0.03734280822
1,-0.03676583325,0.037276519935
1,-0.03661456101,0.037207581795
1,-0.03646451559,0.03713601285
1,-0.036315740805,0.037061837865
1,-0.03616828428,0.03698507589
1,-0.036022187925,0.036905753595
1,-0.035877499365,0.036823891935
1,-0.007302499365,0.020326108065
1,-0.007230334155,0.02028486291
1,-0.007157810805,0.020244246405
1,-0.007084936935,0.02020426617
1,-0.007011716355,0.02016492411
1,-0.00693815478,0.02012622213
1,-0.00686425983,0.020088162135
1,-0.00679003341,0.02005074984
1,-0.006715485045,0.02001398715
1,-0.006640618545,0.01997787597
1,-0.006565439625,0.019942418205
1,-0.006489954,0.01990761957
1,-0.006414167385,0.019873480065
1,-0.006338085495,0.0198400035
1,-0.006261714045,0.01980719178
1,-0.00618505875,0.01977504681
1,-0.00610812723,0.019743574305
1,-0.006030923295,0.01971277236
1,-0.005953454565,0.01968264669
1,-0.00587572485,0.019653197295
1,-0.00579774177,0.019624427985
1,-0.00571951104,0.019596340665
1,-0.00564103647,0.019568935335
1,-0.005562327585,0.01954221771
1,-0.00548338629,0.019516185885
1,-0.00540422211,0.019490845575
1,-0.00532484076,0.01946619678
1,-0.00524524605,0.019442241405
1,-0.0051654456,0.01941898326
1,-0.005085445125,0.01939642044
1,-0.005005252245,0.019374556755
1,-0.004924868865,0.01935339411
1,-0.004844306415,0.019332932505
1,-0.0047635668,0.01931317575
1,-0.004682659545,0.01929412575
1,-0.004601586555,0.0192757806
1,-0.00452035926,0.01925814411
1,-0.004438979565,0.01924121628
